topic	study
CD006103	26162864
CD006103	26164456
CD006103	26164716
CD006103	26164842
CD006103	26167805
CD006103	26169448
CD006103	26170295
CD006103	26177172
CD006103	26180220
CD006103	26180221
CD006103	26180225
CD006103	26181705
CD006103	26188277
CD006103	26189451
CD006103	26190366
CD006103	26192093
CD006103	26192545
CD006103	26192586
CD006103	26196657
CD006103	26198192
CD006103	26198394
CD006103	26200200
CD006103	26202987
CD006103	26205913
CD006103	26206191
CD006103	26209857
CD006103	26210579
CD006103	26211084
CD006103	26211363
CD006103	26212551
CD006103	26212554
CD006103	26213237
CD006103	26217009
CD006103	26221050
CD006103	26222090
CD006103	26224008
CD006103	26225816
CD006103	26227997
CD006103	26231941
CD006103	26231943
CD006103	26232639
CD006103	26232787
CD006103	26233800
CD006103	26234332
CD006103	26235313
CD006103	26235957
CD006103	26236025
CD006103	26236483
CD006103	26238637
CD006103	26242225
CD006103	26242289
CD006103	26242477
CD006103	26246049
CD006103	26246248
CD006103	26247203
CD006103	26250894
CD006103	26251580
CD006103	26253652
CD006103	26256075
CD006103	26257138
CD006103	26257152
CD006103	26257960
CD006103	26259606
CD006103	26263395
CD006103	26270142
CD006103	26272110
CD006103	26273602
CD006103	26276349
CD006103	26276394
CD006103	26277323
CD006103	26277383
CD006103	26279138
CD006103	26283713
CD006103	26285576
CD006103	26286524
CD006103	26286842
CD006103	26292186
CD006103	26295309
CD006103	26295358
CD006103	26298493
CD006103	26301559
CD006103	26305710
CD006103	26308034
CD006103	26314943
CD006103	26317176
CD006103	26317285
CD006103	26317299
CD006103	26318101
CD006103	26318763
CD006103	26319210
CD006103	26320464
CD006103	26322961
CD006103	26323638
CD006103	26324250
CD006103	26325216
CD006103	26327238
CD006103	26330550
CD006103	26332005
CD006103	26335815
CD006103	26339210
CD006103	26340537
CD006103	26347067
CD006103	26348126
CD006103	26355008
CD006103	26359313
CD006103	26360507
CD006103	26364957
CD006103	26365457
CD006103	26365992
CD006103	26367517
CD006103	26371571
CD006103	26374456
CD006103	26376244
CD006103	26383997
CD006103	26384489
CD006103	26385409
CD006103	26385926
CD006103	26386153
CD006103	26386845
CD006103	26389650
CD006103	26389730
CD006103	26389837
CD006103	26391161
CD006103	26391240
CD006103	26391568
CD006103	26395518
CD006103	26397391
CD006103	26398407
CD006103	26402699
CD006103	26409179
CD006103	26410616
CD006103	26412667
CD006103	26414337
CD006103	26422864
CD006103	26424395
CD006103	26425329
CD006103	26426047
CD006103	26426206
CD006103	26428091
CD006103	26428137
CD006103	26429100
CD006103	26430813
CD006103	26432348
CD006103	26432642
CD006103	26434102
CD006103	26434115
CD006103	26436173
CD006103	26436562
CD006103	26438212
CD006103	26440997
CD006103	26441658
CD006103	26442600
CD006103	26442750
CD006103	26444671
CD006103	26446070
CD006103	26448666
CD006103	26449981
CD006103	26451017
CD006103	26451100
CD006103	26455889
CD006103	26457570
CD006103	26457723
CD006103	26459355
CD006103	26461167
CD006103	26462538
CD006103	26469140
CD006103	26471256
CD006103	26472220
CD006103	26472528
CD006103	26473688
CD006103	26476459
CD006103	26477552
CD006103	26482122
CD006103	26488401
CD006103	26490221
CD006103	26490845
CD006103	26492471
CD006103	26494801
CD006103	26499946
CD006103	26500102
CD006103	26501380
CD006103	26502610
CD006103	26507831
CD006103	26508288
CD006103	26511093
CD006103	26514264
CD006103	26516056
CD006103	26518025
CD006103	26518728
CD006103	26519556
CD006103	26522221
CD006103	26530209
CD006103	26536586
CD006103	26537155
CD006103	26543352
CD006103	26544542
CD006103	26546148
CD006103	26546151
CD006103	26546152
CD006103	26547127
CD006103	26547542
CD006103	26548500
CD006103	26552931
CD006103	26561946
CD006103	26562937
CD006103	26563261
CD006103	26563788
CD006103	26565538
CD006103	26567012
CD006103	26567317
CD006103	26572090
CD006103	26573698
CD006103	26577297
CD006103	26578238
CD006103	26581819
CD006103	26582140
CD006103	26585290
CD006103	26586122
CD006103	26590356
CD006103	26594837
CD006103	26595661
CD006103	26597111
CD006103	26597273
CD006103	26601777
CD006103	26605448
CD006103	26609940
CD006103	26612616
CD006103	26617410
CD006103	26619784
CD006103	26620541
CD006103	26626055
CD006103	2663167
CD006103	26634022
CD006103	26638833
CD006103	26641634
CD006103	26644472
CD006103	26648633
CD006103	26655305
CD006103	26658868
CD006103	26660295
CD006103	26663891
CD006103	26664090
CD006103	26667382
CD006103	26668136
CD006103	26674859
CD006103	26679025
CD006103	26679026
CD006103	26679027
CD006103	26679028
CD006103	26680516
CD006103	26684861
CD006103	26687895
CD006103	26689281
CD006103	26689865
CD006103	26690977
CD006103	26693882
CD006103	26695238
CD006103	26696273
CD006103	26698174
CD006103	26702788
CD006103	26703638
CD006103	26707847
CD006103	26709964
CD006103	26715118
CD006103	26717734
CD006103	26722551
CD006103	26727524
CD006103	26728720
CD006103	26732903
CD006103	26739730
CD006103	26740650
CD006103	26742843
CD006103	26744542
CD006103	26747395
CD006103	26751958
CD006103	26752340
CD006103	26756124
CD006103	26756937
CD006103	26757778
CD006103	26769782
CD006103	26770415
CD006103	26772970
CD006103	26774717
CD006103	26775017
CD006103	26776438
CD006103	26778787
CD006103	26779671
CD006103	26780460
CD006103	26788573
CD006103	26792697
CD006103	26795436
CD006103	26796682
CD006103	26797042
CD006103	26803847
CD006103	26805860
CD006103	26805914
CD006103	26806411
CD006103	26808314
CD006103	26809272
CD006103	26810225
CD006103	26812248
CD006103	26818139
CD006103	26818201
CD006103	26818254
CD006103	26818858
CD006103	26818864
CD006103	26818866
CD006103	26818867
CD006103	26818868
CD006103	26819404
CD006103	26824352
CD006103	26826702
CD006103	26829065
CD006103	26831463
CD006103	26833074
CD006103	26833551
CD006103	26837599
CD006103	26840365
CD006103	26841800
CD006103	26842010
CD006103	26842790
CD006103	26844072
CD006103	26845761
CD006103	26846679
CD006103	26851533
CD006103	26852840
CD006103	2685899
CD006103	26860400
CD006103	26862887
CD006103	26864763
CD006103	26866057
CD006103	26867505
CD006103	26867702
CD006103	26868186
CD006103	26871405
CD006103	26872457
CD006103	26872633
CD006103	26874269
CD006103	26875755
CD006103	26876739
CD006103	26878830
CD006103	26886209
CD006103	26886789
CD006103	26888056
CD006103	26895251
CD006103	26899624
CD006103	26907501
CD006103	26907696
CD006103	26907808
CD006103	26910582
CD006103	26913522
CD006103	26919958
CD006103	26921469
CD006103	26923233
CD006103	26925498
CD006103	26928351
CD006103	26928397
CD006103	26936981
CD006103	26939183
CD006103	26940805
CD006103	26944021
CD006103	26946553
CD006103	26946559
CD006103	26946710
CD006103	26948124
CD006103	26950726
CD006103	26955970
CD006103	26960945
CD006103	26961950
CD006103	26972251
CD006103	26973161
CD006103	26973165
CD006103	26973352
CD006103	26974687
CD006103	26975318
CD006103	26976945
CD006103	26982579
CD006103	26988594
CD006103	26990424
CD006103	26993795
CD006103	26995173
CD006103	26996314
CD006103	27000800
CD006103	27004852
CD006103	27007975
CD006103	27008795
CD006103	27009521
CD006103	27012889
CD006103	27020042
CD006103	27021824
CD006103	27022819
CD006103	27023978
CD006103	27024224
CD006103	27025229
CD006103	27027859
CD006103	27028298
CD006103	27035276
CD006103	27036506
CD006103	27040301
CD006103	27043328
CD006103	27046129
CD006103	27049309
CD006103	27050328
CD006103	27054065
CD006103	27055613
CD006103	27058761
CD006103	27059333
CD006103	27059334
CD006103	27059649
CD006103	27062270
CD006103	2706266
CD006103	27068812
CD006103	27072849
CD006103	27074301
CD006103	27079891
CD006103	27080866
CD006103	27081311
CD006103	27084582
CD006103	27089092
CD006103	27090264
CD006103	27090572
CD006103	27091301
CD006103	27095017
CD006103	27097732
CD006103	27098245
CD006103	27098858
CD006103	27099479
CD006103	27100625
CD006103	27105955
CD006103	27106269
CD006103	27107078
CD006103	27107849
CD006103	27112968
CD006103	27116919
CD006103	27120039
CD006103	27122258
CD006103	27123827
CD006103	27123921
CD006103	27126842
CD006103	27130855
CD006103	27131596
CD006103	27132993
CD006103	27155310
CD006103	27159341
CD006103	27166253
CD006103	27167333
CD006103	27167578
CD006103	27170121
CD006103	27175725
CD006103	27177915
CD006103	27179524
CD006103	27179601
CD006103	27179819
CD006103	27181452
CD006103	27182920
CD006103	27183179
CD006103	27184092
CD006103	27184387
CD006103	27186086
CD006103	27186100
CD006103	27187893
CD006103	27188059
CD006103	27194794
CD006103	27199205
CD006103	27201390
CD006103	27202584
CD006103	27207062
CD006103	27212191
CD006103	27216901
CD006103	27218657
CD006103	27223809
CD006103	27225622
CD006103	27226947
CD006103	27230546
CD006103	27233449
CD006103	27235016
CD006103	27235579
CD006103	27235620
CD006103	27235990
CD006103	27237598
CD006103	27238203
CD006103	27246567
CD006103	2725118
CD006103	27254782
CD006103	27254947
CD006103	27255598
CD006103	2725840
CD006103	2725858
CD006103	27259360
CD006103	27262431
CD006103	27267498
CD006103	27273490
CD006103	27274385
CD006103	27282365
CD006103	27283531
CD006103	27287270
CD006103	27287837
CD006103	27292836
CD006103	27295092
CD006103	27301116
CD006103	27302393
CD006103	27303074
CD006103	27303107
CD006103	27306582
CD006103	27310248
CD006103	27316344
CD006103	27317043
CD006103	27318988
CD006103	27319970
CD006103	27334469
CD006103	27339462
CD006103	27339798
CD006103	27342878
CD006103	27344019
CD006103	27345027
CD006103	27346755
CD006103	27352066
CD006103	27352220
CD006103	27352612
CD006103	27357353
CD006103	27363715
CD006103	27363925
CD006103	27365175
CD006103	27371157
CD006103	27373533
CD006103	27374167
CD006103	27378847
CD006103	27383772
CD006103	27384586
CD006103	27385416
CD006103	27388328
CD006103	27391843
CD006103	27395044
CD006103	27400521
CD006103	27401591
CD006103	27401980
CD006103	27403334
CD006103	27404492
CD006103	27408159
CD006103	27417712
CD006103	27421270
CD006103	27422408
CD006103	27422648
CD006103	27423814
CD006103	27426482
CD006103	27429366
CD006103	27429574
CD006103	27430244
CD006103	27435419
CD006103	27440124
CD006103	2744399
CD006103	27445102
CD006103	27448234
CD006103	27456342
CD006103	27459726
CD006103	27461514
CD006103	2746500
CD006103	27467081
CD006103	27467642
CD006103	27469281
CD006103	27471776
CD006103	27473365
CD006103	27474687
CD006103	2747625
CD006103	27476940
CD006103	27477858
CD006103	27485657
CD006103	27489247
CD006103	27491589
CD006103	27493223
CD006103	27496392
CD006103	27498842
CD006103	27505073
CD006103	27506652
CD006103	27507930
CD006103	27512074
CD006103	27514482
CD006103	27514662
CD006103	27517088
CD006103	27519979
CD006103	27528108
CD006103	27531501
CD006103	27534440
CD006103	27535909
CD006103	27543252
CD006103	27545342
CD006103	27558879
CD006103	27559543
CD006103	27561839
CD006103	27563924
CD006103	27565651
CD006103	27572927
CD006103	27573375
CD006103	2757464
CD006103	27576061
CD006103	27577600
CD006103	27579827
CD006103	27580538
CD006103	27590783
CD006103	27596561
CD006103	27603142
CD006103	27605365
CD006103	27608660
CD006103	27613505
CD006103	27613717
CD006103	27613893
CD006103	27613898
CD006103	27616704
CD006103	27617367
CD006103	27623427
CD006103	27627814
CD006103	27628308
CD006103	27633557
CD006103	27635998
CD006103	27638450
CD006103	27638475
CD006103	27639361
CD006103	27639458
CD006103	27640177
CD006103	27646000
CD006103	27647343
CD006103	27649498
CD006103	27655963
CD006103	27656031
CD006103	27657721
CD006103	27658674
CD006103	27660076
CD006103	27662654
CD006103	27664995
CD006103	27667659
CD006103	27678550
CD006103	27682206
CD006103	2768285
CD006103	27693003
CD006103	27693397
CD006103	27693436
CD006103	27695336
CD006103	27698200
CD006103	27698211
CD006103	27698419
CD006103	27706797
CD006103	2771056
CD006103	27713514
CD006103	27716223
CD006103	27717371
CD006103	27717880
CD006103	27726337
CD006103	27729398
CD006103	27737443
CD006103	27742352
CD006103	27752043
CD006103	27754739
CD006103	27755520
CD006103	27765626
CD006103	27766701
CD006103	27769828
CD006103	27775852
CD006103	27777010
CD006103	27778062
CD006103	27783203
CD006103	27783305
CD006103	27783326
CD006103	27784123
CD006103	27785643
CD006103	27794567
CD006103	27798084
CD006103	27802024
CD006103	27802427
CD006103	27805736
CD006103	27809334
CD006103	27810599
CD006103	27815511
CD006103	27817750
CD006103	27818109
CD006103	27834390
CD006103	27834689
CD006103	27838442
CD006103	27839548
CD006103	27844094
CD006103	27845484
CD006103	27847973
CD006103	27851994
CD006103	27852796
CD006103	27863344
CD006103	27866776
CD006103	27870426
CD006103	27872705
CD006103	27876703
CD006103	2788179
CD006103	27882838
CD006103	27888120
CD006103	27888437
CD006103	27889611
CD006103	27891376
CD006103	27893843
CD006103	27894160
CD006103	27894416
CD006103	27896932
CD006103	2790013
CD006103	27901080
CD006103	27905641
CD006103	27906858
CD006103	27907022
CD006103	27919644
CD006103	27927703
CD006103	27938563
CD006103	27939341
CD006103	27939354
CD006103	27940077
CD006103	27940435
CD006103	27942999
CD006103	27943582
CD006103	27951416
CD006103	27956009
CD006103	27958732
CD006103	27965778
CD006103	27974613
CD006103	27984197
CD006103	27986524
CD006103	27988349
CD006103	27993517
CD006103	27995279
CD006103	27995347
CD006103	28007651
CD006103	28011981
CD006103	28012948
CD006103	28013195
CD006103	28024403
CD006103	28025040
CD006103	28025093
CD006103	28028600
CD006103	28028602
CD006103	28028605
CD006103	28029335
CD006103	28031459
CD006103	28033523
CD006103	28035367
CD006103	28049353
CD006103	28055135
CD006103	28064347
CD006103	28065843
CD006103	28069927
CD006103	28070620
CD006103	28071558
CD006103	28073600
CD006103	28077163
CD006103	28082123
CD006103	28082382
CD006103	28087221
CD006103	28089847
CD006103	28093398
CD006103	28096605
CD006103	28101247
CD006103	28101793
CD006103	28103841
CD006103	28104145
CD006103	28105289
CD006103	28111280
CD006103	28112735
CD006103	28120003
CD006103	28121123
CD006103	28123861
CD006103	2812507
CD006103	28126209
CD006103	28129725
CD006103	28130648
CD006103	28131622
CD006103	28131721
CD006103	28131771
CD006103	2813313
CD006103	28148643
CD006103	28150023
CD006103	28157590
CD006103	28160016
CD006103	28161246
CD006103	28168609
CD006103	28168926
CD006103	28169167
CD006103	28177213
CD006103	28179105
CD006103	28185897
CD006103	28185963
CD006103	28185965
CD006103	28187919
CD006103	28189503
CD006103	28189549
CD006103	28190083
CD006103	28190266
CD006103	28193583
CD006103	28196335
CD006103	28196430
CD006103	28197544
CD006103	28199738
CD006103	28202387
CD006103	28207744
CD006103	28212459
CD006103	28215231
CD006103	28216282
CD006103	28217868
CD006103	28218695
CD006103	28221788
CD006103	28222901
CD006103	28222945
CD006103	28223528
CD006103	28224877
CD006103	2822898
CD006103	28231626
CD006103	28235586
CD006103	28235705
CD006103	28235965
CD006103	28238218
CD006103	28238936
CD006103	28239942
CD006103	28241318
CD006103	28242873
CD006103	28243714
CD006103	28257667
CD006103	28259099
CD006103	28259598
CD006103	28261794
CD006103	28264577
CD006103	28268112
CD006103	28275340
CD006103	28279662
CD006103	28282603
CD006103	28285208
CD006103	28285326
CD006103	28287260
CD006103	28291692
CD006103	28294298
CD006103	28294772
CD006103	28296573
CD006103	28306606
CD006103	28314679
CD006103	28315314
CD006103	28317837
CD006103	28318841
CD006103	28319515
CD006103	28322496
CD006103	28326291
CD006103	28326551
CD006103	28337332
CD006103	28337467
CD006103	28342090
CD006103	28342091
CD006103	28342135
CD006103	2834229
CD006103	28349880
CD006103	28351203
CD006103	28352853
CD006103	28353659
CD006103	28358738
CD006103	28360573
CD006103	28361878
CD006103	2836748
CD006103	28367632
CD006103	28372298
CD006103	28373127
CD006103	28374452
CD006103	28376818
CD006103	28391535
CD006103	28398582
CD006103	28398760
CD006103	28403383
CD006103	28403462
CD006103	28416445
CD006103	28419180
CD006103	28419642
CD006103	28420395
CD006103	28420467
CD006103	28425490
CD006103	28429027
CD006103	28429224
CD006103	28433565
CD006103	28438647
CD006103	28440100
CD006103	28441884
CD006103	28446611
CD006103	28450546
CD006103	28452774
CD006103	28454746
CD006103	28457669
CD006103	28457878
CD006103	28457971
CD006103	28469204
CD006103	28470123
CD006103	28473506
CD006103	28476276
CD006103	28476553
CD006103	28477355
CD006103	28479102
CD006103	28479294
CD006103	28487481
CD006103	28494140
CD006103	28494312
CD006103	28497655
CD006103	28499205
CD006103	28500373
CD006103	28501385
CD006103	28505296
CD006103	28506623
CD006103	28506824
CD006103	28507032
CD006103	28511981
CD006103	28521015
CD006103	28522745
CD006103	28525877
CD006103	28527955
CD006103	28528203
CD006103	28532679
CD006103	28541827
CD006103	28544049
CD006103	28549161
CD006103	28549967
CD006103	28550660
CD006103	28555315
CD006103	28556464
CD006103	2855791
CD006103	28558926
CD006103	28569519
CD006103	28570726
CD006103	28574230
CD006103	28576119
CD006103	28577210
CD006103	28578610
CD006103	28579351
CD006103	28587231
CD006103	28589175
CD006103	2859347
CD006103	28593623
CD006103	28595356
CD006103	28598389
CD006103	28600490
CD006103	28600734
CD006103	28603989
CD006103	28605678
CD006103	28606623
CD006103	2860746
CD006103	28608140
CD006103	2861250
CD006103	28616847
CD006103	28616862
CD006103	28617959
CD006103	28618989
CD006103	28620281
CD006103	28623168
CD006103	28623170
CD006103	28624583
CD006103	28624760
CD006103	28630263
CD006103	28631100
CD006103	28635015
CD006103	28637641
CD006103	28640564
CD006103	28648649
CD006103	28651684
CD006103	28658606
CD006103	28658981
CD006103	28660244
CD006103	28660314
CD006103	28660730
CD006103	28662295
CD006103	2866458
CD006103	28665927
CD006103	28666811
CD006103	28667826
CD006103	28673312
CD006103	28673548
CD006103	28675114
CD006103	28675115
CD006103	28678400
CD006103	28682553
CD006103	28693859
CD006103	28700830
CD006103	28700952
CD006103	28704277
CD006103	28705244
CD006103	28705804
CD006103	28710519
CD006103	28710873
CD006103	28711472
CD006103	28712749
CD006103	28713951
CD006103	28714277
CD006103	28714396
CD006103	28715776
CD006103	28718768
CD006103	28728040
CD006103	28728094
CD006103	28732106
CD006103	28735149
CD006103	28735686
CD006103	28756728
CD006103	28758583
CD006103	28760390
CD006103	28766701
CD006103	28770361
CD006103	28771779
CD006103	28778833
CD006103	28778837
CD006103	28781257
CD006103	28782244
CD006103	28791395
CD006103	28791474
CD006103	28791703
CD006103	28791704
CD006103	28797614
CD006103	28799486
CD006103	28802900
CD006103	28804929
CD006103	28806908
CD006103	28809075
CD006103	28815595
CD006103	28816835
CD006103	28816928
CD006103	28817416
CD006103	28817864
CD006103	28818494
CD006103	28820587
CD006103	28822322
CD006103	28825423
CD006103	28831030
CD006103	28833834
CD006103	28838693
CD006103	2883915
CD006103	28841273
CD006103	28842280
CD006103	28842382
CD006103	28848000
CD006103	28853147
CD006103	2885323
CD006103	28855171
CD006103	28858686
CD006103	28859486
CD006103	28859996
CD006103	28863003
CD006103	28867753
CD006103	28868548
CD006103	28868937
CD006103	28874590
CD006103	28875553
CD006103	28880404
CD006103	28885019
CD006103	28885300
CD006103	28894502
CD006103	28898403
CD006103	28901070
CD006103	28901405
CD006103	28912702
CD006103	28913709
CD006103	28919072
CD006103	28919445
CD006103	28924362
CD006103	28925657
CD006103	28925882
CD006103	28927469
CD006103	28929692
CD006103	28935683
CD006103	28936330
CD006103	28936847
CD006103	28940989
CD006103	28941191
CD006103	28942430
CD006103	28943284
CD006103	28943427
CD006103	28944993
CD006103	28950908
CD006103	28952897
CD006103	28960380
CD006103	28960663
CD006103	28966752
CD006103	28968184
CD006103	28970017
CD006103	28971227
CD006103	28975321
CD006103	28992874
CD006103	2899446
CD006103	2900058
CD006103	2900662
CD006103	2901113
CD006103	29017931
CD006103	29020601
CD006103	29021436
CD006103	29024766
CD006103	29024789
CD006103	29026156
CD006103	2902992
CD006103	29032010
CD006103	29032312
CD006103	29038512
CD006103	29039714
CD006103	29040555
CD006103	29042244
CD006103	29046149
CD006103	29046158
CD006103	29048184
CD006103	29049178
CD006103	29050783
CD006103	29050790
CD006103	29054128
CD006103	29054611
CD006103	29058146
CD006103	29059367
CD006103	29059390
CD006103	29059409
CD006103	29059410
CD006103	29059422
CD006103	29064842
CD006103	29065194
CD006103	29065847
CD006103	29074617
CD006103	29075117
CD006103	29078356
CD006103	29080668
CD006103	29089569
CD006103	29100904
CD006103	29105121
CD006103	2911027
CD006103	29110618
CD006103	29114104
CD006103	29114105
CD006103	29117635
CD006103	29117796
CD006103	29118361
CD006103	29127032
CD006103	29128415
CD006103	29130427
CD006103	29131336
CD006103	29133020
CD006103	29144544
CD006103	29146649
CD006103	29150536
CD006103	29155039
CD006103	29155800
CD006103	29157282
CD006103	29158125
CD006103	29168193
CD006103	29168931
CD006103	29171222
CD006103	29175139
CD006103	29175423
CD006103	29175447
CD006103	29176657
CD006103	29178785
CD006103	29179044
CD006103	29180298
CD006103	29180549
CD006103	29181816
CD006103	29183588
CD006103	29185480
CD006103	29191740
CD006103	29191791
CD006103	29193459
CD006103	29195920
CD006103	29196491
CD006103	29196725
CD006103	29197405
CD006103	29199094
CD006103	29203303
CD006103	29209071
CD006103	29214890
CD006103	29215705
CD006103	29220524
CD006103	29222992
CD006103	29225093
CD006103	29226691
CD006103	29227073
CD006103	29232312
CD006103	29232593
CD006103	29235746
CD006103	29236225
CD006103	29236668
CD006103	29236669
CD006103	29243347
CD006103	29246838
CD006103	29248576
CD006103	29248596
CD006103	29250815
CD006103	29251976
CD006103	29253499
CD006103	29260881
CD006103	29262978
CD006103	29265452
CD006103	29272360
CD006103	29273965
CD006103	29275158
CD006103	29275967
CD006103	29277457
CD006103	29281040
CD006103	29294121
CD006103	29298898
CD006103	29299690
CD006103	29301614
CD006103	29305920
CD006103	29306322
CD006103	29307658
CD006103	29307664
CD006103	29311484
CD006103	29311843
CD006103	29312710
CD006103	29313652
CD006103	29316361
CD006103	29316656
CD006103	29319910
CD006103	29320660
CD006103	29320670
CD006103	29324040
CD006103	29326174
CD006103	29328482
CD006103	29331768
CD006103	29335805
CD006103	29337365
CD006103	29338098
CD006103	29343455
CD006103	29343689
CD006103	29346545
CD006103	29348704
CD006103	29350176
CD006103	29354559
CD006103	29355641
CD006103	29356325
CD006103	29358666
CD006103	29363324
CD006103	29363353
CD006103	29363414
CD006103	29366967
CD006103	29371319
CD006103	29372783
CD006103	29376747
CD006103	29377409
CD006103	29383396
CD006103	29383494
CD006103	29384668
CD006103	29384700
CD006103	29389170
CD006103	29404116
CD006103	29405451
CD006103	29405516
CD006103	29405928
CD006103	29407412
CD006103	29407477
CD006103	29424013
CD006103	29424192
CD006103	29427108
CD006103	29427655
CD006103	29430762
CD006103	29433062
CD006103	29435707
CD006103	29436984
CD006103	29438157
CD006103	29444518
CD006103	29451400
CD006103	29455292
CD006103	29456090
CD006103	29460135
CD006103	29460494
CD006103	29463319
CD006103	29464302
CD006103	29472642
CD006103	29472646
CD006103	29474871
CD006103	29477596
CD006103	29478700
CD006103	29481898
CD006103	29483658
CD006103	29491036
CD006103	29493350
CD006103	29496477
CD006103	29498158
CD006103	29499475
CD006103	29500804
CD006103	29502054
CD006103	29504476
CD006103	29505470
CD006103	29510587
CD006103	29512698
CD006103	29518612
CD006103	29522184
CD006103	29524601
CD006103	29526076
CD006103	29526275
CD006103	29527846
CD006103	29528416
CD006103	29532538
CD006103	29532966
CD006103	29536216
CD006103	29538542
CD006103	29549391
CD006103	29551733
CD006103	29559781
CD006103	29560630
CD006103	29567093
CD006103	29571013
CD006103	29572652
CD006103	29575323
CD006103	29578832
CD006103	29579233
CD006103	29580719
CD006103	29584917
CD006103	29587555
CD006103	29587798
CD006103	29597136
CD006103	29609021
CD006103	29614714
CD006103	29621993
CD006103	2963000
CD006103	29634484
CD006103	29634495
CD006103	29642561
CD006103	29650283
CD006103	29660237
CD006103	29660438
CD006103	29661542
CD006103	29663387
CD006103	29663646
CD006103	29664530
CD006103	29666043
CD006103	29667304
CD006103	29670547
CD006103	29671588
CD006103	29671814
CD006103	29677582
CD006103	29679680
CD006103	29679875
CD006103	29691605
CD006103	29695783
CD006103	29704216
CD006103	29704599
CD006103	29704624
CD006103	29704983
CD006103	29705288
CD006103	29708391
CD006103	29708402
CD006103	29710856
CD006103	29715455
CD006103	29720657
CD006103	29724797
CD006103	29725702
CD006103	29729083
CD006103	29730150
CD006103	29733583
CD006103	29746088
CD006103	29751228
CD006103	29751347
CD006103	29759967
CD006103	29770521
CD006103	29771559
CD006103	29773262
CD006103	29775454
CD006103	29778945
CD006103	29782138
CD006103	29784663
CD006103	29785025
CD006103	29790360
CD006103	29790616
CD006103	29791746
CD006103	29792344
CD006103	29795357
CD006103	29795403
CD006103	29795664
CD006103	29802666
CD006103	29803655
CD006103	29803914
CD006103	29808611
CD006103	29844912
CD006103	29849735
CD006103	29851942
CD006103	29852054
CD006103	29859873
CD006103	29860057
CD006103	29860196
CD006103	29863381
CD006103	29871789
CD006103	29875449
CD006103	29878062
CD006103	29878346
CD006103	29880498
CD006103	29881267
CD006103	29882257
CD006103	29884427
CD006103	29886168
CD006103	29886369
CD006103	29888787
CD006103	29891957
CD006103	29899061
CD006103	29899286
CD006103	29901817
CD006103	29903568
CD006103	29906478
CD006103	29908433
CD006103	29911961
CD006103	29912798
CD006103	29913267
CD006103	29914177
CD006103	29920857
CD006103	29921211
CD006103	29924326
CD006103	29925727
CD006103	29925760
CD006103	29925785
CD006103	29929154
CD006103	29932605
CD006103	29933821
CD006103	29934783
CD006103	29935276
CD006103	29937677
CD006103	29939964
CD006103	29941445
CD006103	29948728
CD006103	29950998
CD006103	29955550
CD006103	29955810
CD006103	29959408
CD006103	29967309
CD006103	2996758
CD006103	29973702
CD006103	29975080
CD006103	29980822
CD006103	29981286
CD006103	29981921
CD006103	29985113
CD006103	29998189
CD006103	29998734
CD006103	29999521
CD006103	30001218
CD006103	30006020
CD006103	30006476
CD006103	30006684
CD006103	30006848
CD006103	30009767
CD006103	30009834
CD006103	30025921
CD006103	30033197
CD006103	30036686
CD006103	30039351
CD006103	30039725
CD006103	30042025
CD006103	30052096
CD006103	30053462
CD006103	30054021
CD006103	30055209
CD006103	30055302
CD006103	30056037
CD006103	30059955
CD006103	30062776
CD006103	30067256
CD006103	30071863
CD006103	30073836
CD006103	30079863
CD006103	30089821
CD006103	30092681
CD006103	30093174
CD006103	30099313
CD006103	30102063
CD006103	30103287
CD006103	30106431
CD006103	30111636
CD006103	30117237
CD006103	30124787
CD006103	30129253
CD006103	30129904
CD006103	30131565
CD006103	30137439
CD006103	30137517
CD006103	30137518
CD006103	30137524
CD006103	30137618
CD006103	30139432
CD006103	30148451
CD006103	30148841
CD006103	30153737
CD006103	30170389
CD006103	30175522
CD006103	30176160
CD006103	30187978
CD006103	30190363
CD006103	30192444
CD006103	30192487
CD006103	30192935
CD006103	30194085
CD006103	30194544
CD006103	30201538
CD006103	30205140
CD006103	30207200
CD006103	30213668
CD006103	30214414
CD006103	30218585
CD006103	30222192
CD006103	30230731
CD006103	30243424
CD006103	30248622
CD006103	30249616
CD006103	30252466
CD006103	30255719
CD006103	30260455
CD006103	30260990
CD006103	30262122
CD006103	30264418
CD006103	30264679
CD006103	30265848
CD006103	30266406
CD006103	30266440
CD006103	30270024
CD006103	30273594
CD006103	30276911
CD006103	30282850
CD006103	30283363
CD006103	30284543
CD006103	30285882
CD006103	30286598
CD006103	30296484
CD006103	30296531
CD006103	3030013
CD006103	30307083
CD006103	30309879
CD006103	30310327
CD006103	30314667
CD006103	30316136
CD006103	30317024
CD006103	30332554
CD006103	30342362
CD006103	30345917
CD006103	30348894
CD006103	30349192
CD006103	30354016
CD006103	30355112
CD006103	30358401
CD006103	30360849
CD006103	3036509
CD006103	30369710
CD006103	30372861
CD006103	30376396
CD006103	30377098
CD006103	30378231
CD006103	30378732
CD006103	30380134
CD006103	3038165
CD006103	30384282
CD006103	30384323
CD006103	30391635
CD006103	30397594
CD006103	30398209
CD006103	30398980
CD006103	30399039
CD006103	30399395
CD006103	30408489
CD006103	30409187
CD006103	30417705
CD006103	30417951
CD006103	30439418
CD006103	3044447
CD006103	30445119
CD006103	30445176
CD006103	30446578
CD006103	30449191
